RecordNo,HBU_Q17
1591,"Brownfield sites which are not under any current development plans need to be categorised e.g. for future development, retention as open space, leisure activity etc. Those for development can then be highlighted for companies to consider. Brownfield sites should, in most situations, be used before greenfield sites, unless the brownfield site has had time to become an important wildlife area and of value to the local population, compared to a monoculture type landscape."
681,"Brownfield sites which revert to fields are different from abandoned sites in cities, why didn't you state the areas you were interested in were rural area."
914,"Brownfield sites, including derelict buildings in urban areas, should be redeveloped as a matter of urgency."
1412,"Brownfield sites, with little nature, should be a priority for building"
690,Brownfield use should always prioritise the erosion of green belts
1181,Build houses.
1468,"Build less houses, bring in less people we are crippled by the amount of people we have. Less people so we can manage what we have and keep it. Be green, not carbon using. Renewable energy yes, but less people."
1825,"Build more houses. Homes, not chicken coops."
930,Build more housing seeing as it was the evil Pro EU lot that signed us up to Free Movement. Either deport the foreigners or build more houses for us.
1492,Build on brownfield and leave the rest alone
630,Cafes
1594,Can be a great asset to the community if managed well
2210,Central Government should ensure local councils are adequately funded to make most of these brownfield sites to the benefit of the environment & local community.
1376,Certainly better to develop brown rather than greenfield sights.
1941,Changes to land use should be properly assessed and an emphasis should be placed on the protection of environmental and heritage assets before the expansion of housing or built environment
734,"City centres will become the new brown field sites - office blocks could be repurposed as housing and empty retail buildings / sites could become work hubs with access to tech resources / meeting spaces etc. Other retail space would make great gallery and workshop space for artists, designer etc."
68,Climate change should be a huge consideration
87,"Completely depends on the circumstances, I.e. location, previous use, local needs, adjacent uses, potential development value and potential alternative value."
1623,Concern about hidden contamination
314,Concerned about pollution and health issues linked to building on previously developed land
1100,"Conserving nature should be a priority when deciding what to do with these brownfield sites, whether developed or undeveloped"
1592,Contaminated land should be decontaminated or left undeveloped
550,Council’s always build houses on sites which could be used for much more
1122,Councils seem to take little notice of the public as they have government targets to meet for development.
1426,"Councils should consider brownfield sites for development but only if there's no huge impact on wildlife, particularly rare species."
561,Current government have no interest in our opinion
300,Dependent on local housing shortage
1114,"depends on size and location, what the slope and general relief of the land, how accessible it is, how flooded it gets ... what the previous landuse was, ie toxic soils ... how much open land is currently available to the local population and whether it gets used at the moment by local people for a variety of activities .. ball games, running, cycling, picnics, a green break from other housing forming a natural border between communities who value the open land whether brownfield or not ... whether it is a dangerous and huge building or mill, ex steel works place, or an open space are that was a factory now demolished, or an old aerodrome from the war ... geography of course ... which you have totally ignored in this useless exercise of make believe land"
1330,Depends on what it was used for before!1
1037,Depends on what the brownfield site was previously used for.
195,Depends on what the land was used for before. Depends on local needs.
340,Depends upon surrounding sites
1175,Depends. If it’s fields etc then natural reserve or renewable energy. If buildings still standing heritage based housing or industry
1865,Designate to improve the environment
462,"Developers must be made to develop brownfield sites before greenfield. This should be done by punitive extra financial constraints on the development of greenfield sites. Government legislation, planning laws and local authorities should be much more insistent on the use of brownfield sites instead of the easier options."
1943,"Developers who land-bank should be forced to sell their land for housing, at the same price for which it was originally purchased. The green belt and all green undeveloped land should be protected from development. Empty homes should be reclaimed."
931,"development shoukd be discussed wuth the local community. And if housing must be built, roads, schools, doctors etc MUST be dealt with first"
1690,"development should be a level playing field, not at the whim of office wallahs."
1450,"Development should be focussed in urban areas, undeveloped greenfield land should be the focus of agricultural uses, some renewable energy projects, and nature conservation and restoration. I know in reality this is not practical but should be a general rule."
2080,did not know enough about sites
906,Didn’t realise they were so varied
2170,Difficult to make decisions when no knowledge of other external factirs
1827,"Difficult topic based on multiple factors, wildlife/housing/renewable energy. The land in question and local area would need to be the driving factor."
2016,Disused and empty buildings should be redeveloped for new housing and other projects NOT allowing the disgusting ruin 9f previously undeveloped land.
538,Disused land does not necessarily increase crime or anti-socual behaviour. It is happening elsewhere anyway.
2127,Do not developers cut corners to save money if they have these sites to develop.
1627,Doesn't impact my life in any shape or form.
1777,"dogs should be banned from nature reserves. In Surrey, marauding pet dogs are destroying habitat for ground nesting birds and scaring off other forms of wildlife."
1422,Don't build on them. Nature needs to thrive somewhere
174,Don't keep building houses on various brownfield sites!
2052,"Don't turn them into vape shops, barbers, nail salons, phone repair shops, or fast food joints."
1047,don't use our greenfield
380,Each site and location is unique and so I cannot offer a general opinion.
800,"Each site is different so it is imossible to generalise, but if a site is attracting anti-social behaviour or criminal activity, such as fly tipping, then I believe it should be developed as soon as a suitable use can be found."
1734,"Each site needs to be considered on its own merits as to what should be done, that's why we have planning policy and local plans"
736,Each site should be assessed on the merits for the purpose that suits that enviormnment
245,Every brownfield site can only be individually assessed as each is different.
1624,Every opportunity to support wildlife should be key
1266,Everything should consider climate change and preserving nature.
2190,Everything would depend on why the land became a brownfield site and what was previously there.
880,"Ex industrial sites, not contaminated are best for housing"
1799,Ex landfill land should not be used for housing. We know enough about plastic decomposition to know this would be a bad idea. Those questions were also really boring
2101,"Far to many housing estates being built in local areas that local people cannot afford ,meaning people from other areas ie London are buying them and renting them out."
1598,far to much development taking place against the wishes of local residents
358,Far too many houses being built on any available land in our so-called village.
1296,Far too much 'undeveloped' land is being squandered for building at the moment instead of using brownfield for that purpose
285,Fields for food
1570,Flexible infill housing for multigenerational housing should be made easier.
1803,Focus needs to be on brownfield sites and making best use of current housing.
1800,"For these questions I cannot see how I can give a meaningful answer as I don't have enough information to do so. For the following question, we would like you to imagine a brownfield site that's currently unmanaged, with no public access and is currently available for repurposing... On a scale of 1 to 8, where '1' is 'Most preferred' and '8' is 'Least preferred', please rate what you think personally a brownfield site, with little value to wildlife should be used for? (Please select a different number from 1 to 8 on each row)"
312,Former industrial sites should be reclaimed and used for housing.
190,Funding should be made available for more development on undeveloped sites and quality land preserved for parks and reserves. There is too much poor quality ‘green space’
315,Generally I believe brownfield sites are not sufficiently utilised prior to using green field sites.
162,Get houses built on them for the country
305,"Give as many as possible back to nature, plants, trees and flowers enhance our well-being and encourage wildlife."
804,Good
1086,Good
447,Good places to walk the dog
1802,Government and councils should be looking to overhaul and improve the housing stock we already have before they should be allowed to build ANY new housing. There are millions of houses laying derelict and empty that could and should be brought back into the housing stock. It is councils’ duty to make the best use of our existing housing stock and derelict office spaces and other buildings too. Making them fit places for occupation.
706,Government support should be available to clean up brown field sites
1334,"Government target of 300,000 houses per year is incorrect and unwarranted. See Ian Mulheirns blogs"
398,Great
786,Great for nature
627,Greater priority should be given to using brownfield sites for housing or industrial development before building on greenfield sites.
453,Green belt should be preserved.
21,"Green eneregy and homes are important to me, but so is biodiversity. Monocrop agriculture is not so good for biodiversity"
1079,Green energy should be our priority
367,Green space and nature reserves are so important for mental health purposes. We are losing far too many.
1064,"Green spaces are needed for mental health and wellbeing, and for nature."
990,Happy with status quo
222,Hate it when people think that greenbelt is actually brownfield
1637,have found it thought proviking and interesting
91,Help the wildlife.
755,Help to keep the green belt
1926,hopefully these sites will be redeveloped
67,House building must include building of public amenities
678,House prices are far too high for first time buyers - building new developments has to be a priority is net migration is to stay high. Hopefully this can be managed in a non environmentally destructive way...?
1414,"Houseing is good, prices need to be reduced. Clean Energy production is good for our needs"
860,"Houses have to be built somewhere, and house building is profitable, therefore brownfield sites should normally be the first choice."
1961,"Houses need time be built, preferably not on flood plains and not on sites where much wildlife is found"
306,Houses should stop being built on green field sites on the edges of town. Just make congestion worse and contributes to urban sprawl
1232,"housing and bidiversity should be encouraged, however all sites should be productive and developed for the benefit off the local community"
307,"Housing is a much larger priority on Brown field sites, there is also large demand for commercial multi-purpose units in most towns with the growth of ecommerce. Other uses I would support are re-purposing for Farmland (the UK has a need to 'grow its own' and become more self sufficient since leaving the EU and to repurpose these sites for genuine long term Green industries."
63,"housing is a real problem, but more importantly affordable housing and a rent cap. It is a disgrace that private landlords can hold such a monopoly."
8,Housing is good
1801,"Housing is my least preferred option in all cases, losing the land forever. The other options would keep land available to be used in the future and to leave open spaces for wildlife, fauna and flora and most of all for use by people"
2172,"Housing is needed for young people, and a lot more of it should be affordable, so this should be the priority for suitable brown field sites."
2042,Housing is preferred to wind farms or solar farms
1643,Housing needs to be very sympathetic to the surrounding areas
2103,Housing should always be built on brownfield sites rather than previously undeveloped land
936,Housing should be built on all sites. I hate the countryside.
910,Housing should be prioritised but not at the expense of wildlife
1420,"Housing to me is most important, unless the land is rich in wildlife in which case it should be used for conservation."
572,How about not destroying nature and local habitats at all and the local landscape at all unless there's a good reason to do so from the local perspective. And I don't mean importing a bunch of foreigners to change the local perspective either.
200,I agree that brownfield sites should be used for housing development since it is hugely more appropriate than using greenfield or prime agricultural land - which is what developers prefer as it costs less to prepare and is usually in a more attractive situation for higher cost housing.
866,I agree they should be used over greenfield sites but torfaen council are avoiding this and constantly using greenfield sites.
1906,"I always ranked housing as low as I believe there is enough housing space and facilities if only they were managed better and less for profit. And other industrial facilities should never come at the expense of nature. I tried to rank the renewable resources based on the amount of impact they'd have on the wildlife and ecology already on the site. We have a finite amount of space, and I think we should preserve biodiversity undeveloped land, and in places where brownfield sites have recovered nature in many forms these too should be preserved and cared for l, instead of development for profits sake and not need."
2160,"I am a supporter of developing brownfield sites in city centres, but the images tended to indicate more rural locations which I would be less supportive to see turned into housing or an industrial estate"
674,I am all for greening the country and making us live sustainably and environmentally conscious.
1783,"I am aware that there is a lack of housing in this country so agree that some of these sites may be good for developing, but I do think that it is very important to consider any wildlife that may be inhabiting the site."
1851,"I am concerned that land is being over-developed, causing damage to the water table and destroying natural habitats."
178,"I am most concerned about the ruining of land. We have too many people, not too little housings. I am concerned about our longer term problems if we keep building on farmland. Where will our food be grown? I also have great concerns about ruining land that is currently ""wild"" - we are killing wildlife in great numbers, & I find that appalling."
381,I am very much in favour of using brown field sites within cities as space for housing
697,"I appreciate the need for housing but new build estates that are thrown up quickly and cheaply without much thought to the local area and its present inhabitants are so unappealing, I would much rather land remains available for wildlife or used for productive renewable energy use"
417,"I appreciate we need more housing but I think we need more trees too, there was no suggestion of purely trees going on it...."
1038,I believe it is important to take into context the wildlife and plant life of the local area surrounding the brownfield site rather than classing them as always fit to be developed.
377,I believe they should be put to good use
414,I consider the image of the rape seed to be pollition as the pesticides used are terrible for biodiversty and human health.
1660,I could not put the correct answers in as the the system was not set up properly
28,"I do not believe tht undeveloped land should be used for housing or industrial use. I am happier (alhough not entirely happy) about using brownfield sites for housing, indutrial or solar farm use."
753,I do not know much about this subject so I have based my responses on personal preferences
498,I do not think any greenfield sites should be used for industrial purposes or housing. Our green spaces are important for our physical and mental well-being also to encourage biodiversity and should be preserved as such.
207,I do not think the green belt should be built one. I think public footpaths should be preserved. Above all wildlife should be catered for
856,I don’t know enough about this topic to offer an educated response
904,I don’t know much about them
1258,I don't feel that I know enough about the effects of bio fuel crops and digesters on wildlife to make a proper ranking
1373,I don't know much about brownfield sites but I would prefer the use of any unused land to be for the benefit of wildlife where possible
1045,I dont know much about it all
1593,"I don't like anything changed that will damage wildlife. I also don't like push towards biofuel because even that will cause some pollution (i.e., manufacture)"
1599,I don't like the idea of tgem
1579,I don't mind them being redeveloped but should be done sensitively
1798,I don't really care about it
1557,I don't really like them
32,I dont think housing should be the automatic choice for brownfield sites.
308,I don't think undeveloped sites rich in wildlife should be used for anything until all brownfield sites are repurposed.
1089,I feel fascinated by brownfield sites / undeveloped sites. They are really interesting to explore.
1323,I feel in the UK we are lacking free to use public spaces. I am strongly in favour of green energy encouraging biodiversity and making more areas available for public use. Well I'm not against new build housing to feel the quality of new build housing is normally poor and there are not adequate amenities provided on most new build sites.
1608,I feel more places should be left for wildlife.There are so many houses going up that there is almost nowhere left for wild life to go!!
831,"I feel that the questions and photos were cherry picked to give a desired outcome in the questions , I.e. not unbiased. most brownfield sites are not good and need redevelopment as housing rather than green field site. a few brown fields may meet the criteria of this survey."
471,"I feel that we need to remember that we are a highly populated, small island and a vast amount of our agricultural land, used to produce food, is disappearing underneath concrete and buildings."
375,"I found the photos unhelpful - the edge of a chalk ridge/old quarry for example doesn't really crop up in the middle of a major metropolitan area. And further into the questionnaire, decisions on how land should be used depends on its location."
1441,"I have been involved in discussions regarding what land she be utilised for and found that local government tend to do as they wish, whether it be right or wrong."
2156,I have little opinion on this topic.
525,"I have much to say on this topic, but for specifically Scotland and not the UK/England."
2148,I have no I interest at all in brownfield sites
191,I know I wouldn't want to live on a former brownfield site as would be worried about long term pollution in ground
1760,I know more about brownfield sites now after taking this survey and feel more positive about them
795,I know we need houses but we have to encourage wild life. We have to think of the future for all things.
658,"I like the idea of this land being rewilded or turned back into a public commons eg. Parks, nature reserves. Unfortunately, there is no profit motive to converting old land for these purposes, so it’s almost always turned into homes or shops. Wouldn’t be so bad if the homes weren’t so expensive and poor quality. I think there should be a legal requirement to convert a minimum amount of brownfields land into public commons."
1494,I live directly opposite a water foul wildlife reserve looking much like the images shown. It has never been misused or soiled or dumped on. Why allow any change to the beauty.
1342,i live in a rural area and i always find it interesting how certain developers easily gain planning permission for housing on greenfield sites.
116,I live in an area with many brownfield sites that have been turned into nature reserves and country parks. They are wonderful places and heavily used by the local communities.
2189,I live in london the last greenfield site I was aware of was the Greenwich peninsular they built the Millenium dome on it
641,I love to see brownfield sites to stay either unchanged or used as a nature reserve.
744,"I misunderstood the extent of Brownfield site, prior to answering the questions."
350,I need to learn 1st about brownfield
2168,I perceive brownfield sites as previous used sites within an urban area. The sites shown in the survey appear to be on the whole wild sites with public access. I resent the fact that sites like this have been in this way to elicit a response which would endorse a redevelopment that I would not approve of
1988,I personally don't think we need any more housing as the birth rate is going down dramatically and we have enough houses for everyone. Many Europeans are going back home and that's good as we are only a small island and we were getting so full so with the falling birth rate and falling immigration we should have enough for everyone. Maybe just build some bigger houses with granny annexes to cater for the multi generation living which now seems to be coming back into fashion and granny could stay in her house surrounded by family who will look in on her.
271,I personally would love the opportunity to self-build on a brownfield site and help regeneration.
1186,I really don't know enough about brownfield sites to have an opinion
535,"I really think it impossible to say what is the best use of any brownfield site without more information. If it was a landfill site or a or on a flood plain it would be unsuitable for housing anyway. Where possible wildlife should be encouraged and renewable energy areas could be put on areas unsuitable for housing. If there is no danger of flooding or toxic leaks then maybe housing should be prefered but by that I mean 'affordable' housing, not sold off to large building companies to build expensive very profitable (for them) types of housing."
649,"I recognise that some brown filed sites. located in areas where open land is scarce may be good as wild life reserves ie old quarries, tips like the piles of china clay waste or old golf courses but those in towm should be used fro hosing before fields are built on"
2043,I support this
507,"I support use of brownfield sites for housing, if developed sympathetically"
2037,I think a lot of existing housing stock should be updated/improved to address housing issues. There is a demand for housing though and it has to be built somewhere but nobody likes it being built near them. The same goes for wind/solar farms. Wind turbines in particular get an unfair reputation and I think the government should address this and push wind power as it is such a great way of harnessing energy for the UK in a sustainable way. I guess there is interest in preserving the status quo for the existing energy cartel and the government though!
411,I think all brownfields sites should be re-purposed for use as there are too many green field sites being taken over for some form of conversion.
721,I think all new developments (housing or commercial) should use up available brownfield sites first before building on greenfield sites
264,I think any waste land should be made use of and more affordable housing should be built along with doctors and schools
1015,I think both sites are beneficial as long as they have access / paths etc. They either provide good space for wildlife and dog walkers or open spaces for kids to play in
703,"I think brownfield sites can be rich in wildlife and be of great value, but it massively depends! Thanks for the interesting survey."
1269,I think brownfield sites should be developed but should take into account the needs of the local area including environmental issues and housing needs.
995,"I think brownfield sites should be put to some use, but can see why that might be difficult to decide. All for wildlife being encouraged!"
325,I think brownfield sites should be redeveloped before undeveloped sites.
261,I think England should have more right to roam
878,"I think housing should be more on inner city brownfield sites and using existing buildings (empty, for example)."
1108,"I think if the site at least appears to be managed or under surveillance there is less chance of it being used for anti-social behaviours. If it is providing goodness for nature than it is best to continue to nurture the space in that direction and give back the most value to the community and eco-system as a whole. If it is not rich in wildlife resources, then it seems more permissable to use it for more industrial purposes or housing."
2102,I think it is preferable to build new housing on brownfield sites rather than in green belts. I believe planning permission should not be granted in a green belt zone when brownfield sites could be used as an alternative.
979,I think it is very important to look at wildlife issues first before making these decisions
224,I think it would be great to make use of these areas should be developed in some way it would improve the areas and cut down crime
1306,"I think it would depend on very many factors including the need for housing in a particular area and the particular characteristics of the sites in question, eg whether there were protected, endangered or rare species on a site. It would also depend on its location, eg for wind or solar power."
671,I think it's an undesirable situation that land can be bought with the express intent of not building on it immediately in favour of waiting until the land has become a more valuable commodity on which to build. This is capitalism working against the interests of society for the purpose of profit.
1177,I think land shouldn’t be left alone abonded I think it should be developed and residents should have a say in how it is developed
81,I think local people's views should be listened to when considering development of sites near their homes
1731,i think maybe sometimes they should be left to nature so people have a bit of wildlife to visit especially if they life in a city
547,I think more brownfield sites should be developed into something useful.
840,I think more of it should be used
2076,"I think more should be done to ensure current housing options are safe (ie cladding in tower blocks) clean and affordable, well regulated to protect renters and home owners rather than landlords, before we build on reclaimed, brownfield or undeveloped sites."
1195,I think only sites that don’t contain any pollution should be used for housing
1519,"I think people who own more than one property which is left uninhabited should have it compulsory purchased by the government and then used for housing. I very strongly disagree with people owning holiday homes and then many new builds are built. In my opinion there is not such a massive shortage of housing as there are many houses used for short periods of time eg housing, they could be used/sold to accommodate people for homes rather than keep building houses and taking up good land that should be left for wildlife. I very strongly feel that new house estates should have a good number of trees planted too by the developer but not at the cost to the buyers. We recently moved to a new housing estate (which we very much regret but circumstances happened) we have identified that there are so very few trees, shrubs and greenery that it is quite depressing plus there is very little wildlife. In 11 months we have only seen a few pigeons and doves as there is no where for birds to go. I very"
2126,"I think sites that are rich in wildlife, especially rare and protected species, should be left as unmanaged as possible. Otherwise, managed nature reserves make great features for local communities, improve mental and physical health of local residents."
2015,I think that brownfield sites should be used to help local wildlife and flowers.
1933,"I think that green field sites should be protected, more than currently. There used to be a green field site very close to my home but now it's a big housing estate."
1642,"I think that if they are developed for housing or industrial purposes there should be strict 'green' clauses attached requiring energy efficiency, use of sustainable materials, contribution to/creation of green areas in the locality etc."
1566,I think that nature should be a priority and sustainable energy
1797,I think that the development of brownfield sites for housing is better than using useful agricultural land. In all cases it depends on location and what impact any development would have on the local community. Overlarge developments dumped in the countryside can totally unbalance existing villages or small towns.
1389,I think that the green belts around the uk should be sustained irrespective of whether the land is fallow and not used . Brownfield sites I have learned are not always derelict buildings ! ...
100,"I think that the land needs to be used in some way as it serves no purpose when left and although renewable energy and housing is extremely important, green space and wildlife should also be incorporated into it"
1928,I think that there should be no housing built on green areas until brownfield sites are utilised.
1874,I think that they should be developed before greenbelt sites.
500,"I think that where you mention the Government in the introduction, you probably mean for England and possibly Wales, yes? In which case, please specify that. The desirability of development of brownfield and undeveloped sites depends on their location - in a city centre which already has wildlife, or a city centre which lacks green spaces, or the edge of town by the sea, or the edge of town by more green space. Each individual case should be considered on its merits, which a bias towards nature preservation, because it is easy to destroy natural sites but hard and sometimes impossible to restore them."
1864,"I think the Government should do more/support and encourage more development of eco friendly projects and develop more natural/wildlife areas rather than using ""open space"" for more housing. There enough empty residential and commercial buildings that could be used for that purpose."
997,"I think there needs to be a careful balance between meeting the needs of human populations with affordable & adequate housing /education/ facilities/ transport networks, including decent public transport, & leaving undeveloped spaces as they are. The world needs areas where the biodiversity is undisturbed, to help off-set some of the destruction we create. Humans also need places to go where they can be part of nature, & learn to respect & value nature, for the good of their health & well-being. This might be in managed ex-brownfield sites, as much as in countryside areas."
